Configuration,Best_Val_MSE,Training_Time_s
A,0.27024354100797615,432.9221091270447
B,0.26484198985548224,245.60683679580688
C,0.27019215905959876,205.86391019821167
D,0.27288991728982265,394.17153811454773
E,0.2813967427516531,172.8111116886139
